#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   0.33506    -14.283994  0.563  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.576
   0.30156    -14.338163  0.562  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.574
   0.26805    -14.387353  0.558  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.000  0.571
   0.23454    -14.431325  0.558  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.569
   0.20104    -14.469867  0.557  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.567
   0.16753    -14.502786  0.556  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.567
   0.13403    -14.529926  0.554  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.566
   0.10052    -14.551163  0.553  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.564
   0.06701    -14.566401  0.552  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.564
   0.03351    -14.575573  0.552  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.563
   0.00000    -14.578634  0.552  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.563
 
# Band-Index:    3
   0.00000    -14.578460  0.554  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.563
   0.03351    -14.575398  0.554  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.563
   0.06701    -14.566227  0.554  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.563
   0.10052    -14.550988  0.554  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.563
   0.13403    -14.529750  0.555  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.566
   0.16753    -14.502606  0.556  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.565
   0.20104    -14.469676  0.556  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.568
   0.23454    -14.431111  0.558  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.571
   0.26805    -14.387096  0.560  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.571
   0.30156    -14.337838  0.561  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.000  0.573
   0.33506    -14.283569  0.562  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.576
   0.36857    -14.224567  0.566  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.577
   0.40208    -14.161131  0.568  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.43558    -14.093610  0.570  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.000  0.584
   0.46909    -14.022387  0.573  0.000  0.012  0.001  0.000  0.000  0.000  0.000  0.000  0.588
   0.50259    -13.947874  0.577  0.000  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.591
   0.53610    -13.870548  0.580  0.000  0.012  0.005  0.000  0.000  0.000  0.000  0.000  0.594
   0.56961    -13.790894  0.584  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.597
   0.60311    -13.709460  0.587  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.603
   0.63662    -13.626850  0.590  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.606
