#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   1.19725     -6.295282     -6.295282
   1.21659     -6.285529     -6.285529
   1.23594     -6.273019     -6.273019
   1.25528     -6.257769     -6.257769
   1.27463     -6.239819     -6.239819
   1.29397     -6.219198     -6.219198
   1.31332     -6.195946     -6.195946
   1.33266     -6.170105     -6.170105
   1.35201     -6.141726     -6.141726
   1.37135     -6.110866     -6.110866
   1.39070     -6.077590     -6.077590
   1.41004     -6.041972     -6.041972
   1.42939     -6.004097     -6.004097
   1.44873     -5.964059     -5.964059
   1.46807     -5.921990     -5.921990
   1.48742     -5.878079     -5.878079
   1.50676     -5.832668     -5.832668
   1.52611     -5.786663     -5.786663
   1.54545     -5.744462     -5.744462
   1.56480     -5.735697     -5.735697
   1.58414     -5.757635     -5.757635
   1.60349     -5.779282     -5.779282
   1.62283     -5.799982     -5.799982
   1.64218     -5.819382     -5.819383
   1.66152     -5.837215     -5.837216
   1.68087     -5.853240     -5.853241
   1.70021     -5.867244     -5.867244
   1.71956     -5.879028     -5.879028
   1.73890     -5.888396     -5.888397
   1.75825     -5.895201     -5.895201
   1.77759     -5.899290     -5.899291
   1.79694     -5.900592     -5.900593
   1.79694     -5.900592     -5.900593
   1.83563     -5.894550     -5.894551
   1.87432     -5.875527     -5.875527
   1.91301     -5.843039     -5.843040
   1.95170     -5.796873     -5.796873
   1.99039     -5.737205     -5.737206
   2.02908     -5.665080     -5.665080
   2.06776     -5.656436     -5.656436
   2.10645     -5.691199     -5.691199
   2.14514     -5.711485     -5.711485
   2.18383     -5.718173     -5.718173
   2.22252     -5.713032     -5.713032
   2.26121     -5.698435     -5.698435
   2.29990     -5.677530     -5.677530
   2.33859     -5.654239     -5.654239
   2.37728     -5.633319     -5.633319
   2.41597     -5.620030     -5.620030
   2.45466     -5.619331     -5.619331
   2.49335     -5.634618     -5.634619
   2.53204     -5.666736     -5.666737
   2.57073     -5.714019     -5.714019
   2.60942     -5.773140     -5.773140
   2.64811     -5.840308     -5.840308
   2.68680     -5.911959     -5.911960
   2.72549     -5.984996     -5.984996
   2.76418     -6.056896     -6.056897
   2.80287     -6.125626     -6.125626
   2.84156     -6.189530     -6.189530
   2.88025     -6.247274     -6.247274
   2.91894     -6.297777     -6.297777
   2.95763     -6.340185     -6.340186
   2.99632     -6.373830     -6.373830
   3.03501     -6.398206     -6.398206
   3.07370     -6.412968     -6.412969
   3.11239     -6.417913     -6.417913
 
# Band-Index:    8
   3.11239     -5.954717     -5.954717
   3.07370     -5.949916     -5.949917
   3.03501     -5.935597     -5.935597
   2.99632     -5.911992     -5.911992
   2.95763     -5.879524     -5.879524
   2.91894     -5.838790     -5.838790
   2.88025     -5.790571     -5.790571
   2.84156     -5.735917     -5.735917
   2.80287     -5.676133     -5.676133
   2.76418     -5.612886     -5.612886
   2.72549     -5.548300     -5.548301
   2.68680     -5.485091     -5.485091
   2.64811     -5.426709     -5.426709
   2.60942     -5.377405     -5.377405
   2.57073     -5.341989     -5.341989
   2.53204     -5.324823     -5.324823
   2.49335     -5.328141     -5.328141
   2.45466     -5.350487     -5.350487
